Feature,Importance
payment_risk_score,0.3195333863668278
payment_failures,0.304903148714945
customer_health_score,0.0977812940963649
engagement_score,0.04581874003420608
login_frequency,0.04240581875729405
content_completion_rate,0.037704815035767926
watch_hours_last_30_days,0.03182659146444954
inactivity_score,0.03021526057512026
days_since_last_login,0.027923649277620734
tenure_days,0.007709216747690737
episodes_completed,0.007026898085596049
average_content_rating,0.006834561895330833
age,0.005889687830718149
movies_watched,0.005464203881557296
series_watched,0.004496146593211535
customer_support_tickets,0.0027675170603198122
number_of_devices,0.002226999675227183
buffering_complaints,0.002065676289634797
app_crashes_reported,0.0018331906452211636
monthly_fee,0.0009520121697481884
payment_method_PayPal,0.0009156140593410947
subscription_plan_Standard,0.0008055734797518709
favorite_genre_Action,0.0007910109659194286
favorite_genre_Sci-Fi,0.0007664931085136898
favorite_genre_Thriller,0.0007577681226829282
payment_method_Debit Card,0.0007377714347121341
favorite_genre_Drama,0.0007248732976719422
payment_method_Credit Card,0.0006943228304867627
auto_renewal,0.0006602472539941605
favorite_genre_Comedy,0.0006546316196024942
country_Germany,0.0006432463503915695
country_Canada,0.0006339147771891893
country_France,0.0006313533788499581
country_USA,0.0006270276972535165
gender_Female,0.0006265565835848332
country_Australia,0.0006127842830562444
payment_method_UPI,0.0006041592546763609
gender_Male,0.0005886030645297263
subscription_plan_Premium,0.0005801147220118309
country_UK,0.0005561789310991183
subscription_plan_Basic,0.0005079798485491778
country_India,0.0005009597392798604
